Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Inzektor Axe - Zektahawk	ORCS	InzektorAxeZektahawk	Equip Spell							Equip only to an "Inzektor" monster. It gains 1000 ATK. When the equipped monster declares an attack, your opponent cannot activate Spell/Trap Cards.
Kurivolt	ORCS	Kurivolt	Thunder/Effect	Light	1	300	200			During your Main Phase: You can target 1 face-up Xyz Monster that has Xyz Material; detach 1 Xyz Material from it, and Special Summon 1 "Kurivolt" from your Deck. This card cannot be used as a Synchro Material Monster.
Darklon	ORCS	Darklon	Fiend/Effect	Dark	1	100	100			When this card is Normal Summoned: You can have all face-up monsters you currently control gain 1 Level, also, they become DARK (these effects last until the End Phase).
Gagaga Girl	ORCS	GagagaGirl	Spellcaster/Effect	Dark	3	1000	800			You can target 1 face-up "Gagaga Magician" you control; this card's Level becomes the Level of that monster. An Xyz Monster that was Summoned using only this card and other "Gagaga" monsters as Xyz Material gains this effect: *When it is Xyz Summoned: You can target 1 Special Summoned monster your opponent controls; its ATK becomes 0.
Gogogo Giant	ORCS	GogogoGiant	Rock/Effect	Earth	4	2000	0			When this card is Normal Summoned: You can target 1 "Gogogo" monster in your Graveyard; Special Summon that target in face-up Defense Position, then change this card to Defense Position. If this card attacks, it is changed to Defense Position at the end of the Battle Phase.
ZW - Unicorn Spear	ORCS	ZWUnicornSpear	Beast/Effect	Light	4	1900	0			You can target 1 face-up "Number C39: Utopia Ray" you control; equip this card from your hand to that target. It gains 1900 ATK. If the equipped monster battles an opponent's monster, the opponent's monster's effect is negated during the Battle Phase only. You can only control 1 face-up "ZW - Unicorn Spear".
Photon Lizard	ORCS	PhotonLizard	Dragon/Effect	Light	3	900	1200			You can Tribute this card; add 1 Level 4 or lower "Photon" monster from your Deck to your hand. The effect of "Photon Lizard" can only be used once per turn.
Photon Crusher	ORCS	PhotonCrusher	Warrior/Effect	Light	4	2000	0			If this card attacks, it is changed to Defense Position at the end of the Damage Step.
Photon Leo	ORCS	PhotonLeo	Beast/Effect	Light	6	2100	1100			When this card is Normal Summoned: You can have your opponent shuffle their entire hand into the Deck, then they draw the same number of cards as they shuffled into the Deck.
Photon Circle	ORCS	PhotonCircle	Spellcaster/Effect	Light	4	1000	1000			Any Battle Damage you take from battles involving this card is halved.
Reverse Buster	ORCS	ReverseBuster	Fiend/Effect	Light	4	1500	0			This card can only attack face-down Defense Position monsters. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. At the start of the Damage Step, if this card attacked a face-down Defense Position monster: You can destroy that monster immediately with this card's effect without flipping it face-up or applying damage calculation.
Flame Armor Ninja	ORCS	FlameArmorNinja	Warrior/Effect	Fire	4	1700	1000			When this card is Summoned: You can target 1 face-up "Ninja" monster you control; increase its Level by 1.
Air Armor Ninja	ORCS	AirArmorNinja	Warrior/Effect	Wind	4	1400	1400			When this card is Summoned: You can target 1 face-up "Ninja" monster you control; reduce its Level by 1.
Aqua Armor Ninja	ORCS	AquaArmorNinja	Warrior/Effect	Water	4	800	1600			When an opponent's monster declares a direct attack, if you have another "Ninja" monster in your Graveyard: You can banish this card from your Graveyard to target the attacking monster; negate that attack.
Earth Armor Ninja	ORCS	EarthArmorNinja	Warrior/Effect	Earth	5	1600	1200			If your opponent controls a monster, and you control no monsters, you can Special Summon this card (from your hand).
Inzektor Hornet	ORCS	InzektorHornet	Insect/Effect	Dark	3	500	200		A1/T1	Once per turn: You can equip 1 "Inzektor" monster from your hand or Graveyard to this card. While this card is equipped to a monster, that monster's Level is increased by 3, also it gains ATK and DEF equal to this card's ATK and DEF. While this card is equipped to a monster: You can send this Equip Card to the Graveyard to target 1 card on the field; destroy that target.
Inzektor Ant	ORCS	InzektorAnt	Insect/Effect	Dark	3	200	600			Once per turn: You can equip 1 "Inzektor" monster from your hand or Graveyard to this card. While this card is equipped to a monster, that monster's Level is increased by 3, also it gains ATK and DEF equal to this card's ATK and DEF. If the equipped monster would be destroyed, you can destroy this Equip Card instead.
Inzektor Centipede	ORCS	InzektorCentipede	Insect/Effect	Dark	3	1600	1200			Once per turn: You can equip 1 "Inzektor" monster from your hand or Graveyard to this card. If an Equip Card(s) is sent to your Graveyard while equipped to this card (except during the Damage Step): You can add 1 "Inzektor" card from your Deck to your hand. While this card is equipped to a monster, that monster's Level is increased by 3.
Inzektor Dragonfly	ORCS	InzektorDragonfly	Insect/Effect	Dark	3	1000	1800		A1/T1	Once per turn: You can equip 1 "Inzektor" monster in your hand or Graveyard to this card. If an Equip Card(s) is sent to your Graveyard while equipped to this card (except during the Damage Step): You can Special Summon 1 "Inzektor" monster from your Deck, except "Inzektor Dragonfly". While this card is equipped to a monster, that monster's Level is increased by 3.
Inzektor Giga-Mantis	ORCS	InzektorGigaMantis	Insect/Effect	Dark	6	2400	0			You can target 1 face-up "Inzektor" monster you control; equip this card from your hand to that target. While this card is equipped to a monster, that monster's original ATK becomes 2400. If this card is sent to the Graveyard while equipped to a monster: You can target 1 "Inzektor" monster in your Graveyard except "Inzektor Giga-Mantis"; Special Summon that target. This effect of "Inzektor Giga-Mantis" can only be used once per turn.
Inzektor Giga-Weevil	ORCS	InzektorGigaWeevil	Insect/Effect	Dark	6	0	2600			You can target 1 face-up "Inzektor" monster you control; equip this card from your hand to that target. While this card is equipped to a monster, that monster's original DEF becomes 2600. If this card is sent to the Graveyard while equipped to a monster: You can target 1 "Inzektor" monster in your Graveyard; Special Summon that target. This effect of "Inzektor Giga-Weevil" can only be used once per turn.
Wind-Up Rat	ORCS	WindUpRat	Beast/Effect	Earth	3	600	600			During your Main Phase: You can target 1 "Wind-Up" monster in your Graveyard; change this face-up Attack Position card you control to face-up Defense Position, and Special Summon that target in face-up Defense Position. This effect can only be used once while this card is face-up on the field.
Wind-Up Honeybee	ORCS	WindUpHoneybee	Insect/Effect	Earth	1	100	300			When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Level 4 or lower "Wind-Up" monster from your Deck.
Evoltile Pleuro	ORCS	EvoltilePleuro	Reptile/Effect	Fire	1	200	200			If this card you control is destroyed and sent to your Graveyard: You can Special Summon 1 "Evolsaur" monster from your hand.
Evoltile Casinerio	ORCS	EvoltileCasinerio	Reptile/Effect	Fire	3	1600	400			At the end of the Battle Phase, if this card destroyed an opponent's monster by battle: You can Tribute this card; Special Summon 2 Level 6 or lower FIRE Dinosaur-Type monsters with the same name from your Deck. Their effects are negated and they are banished during the End Phase.
Evolsaur Elias	ORCS	EvolsaurElias	Dinosaur/Effect	Fire	6	100	2400			When this card is Special Summoned by the effect of an "Evoltile" monster: You can Special Summon 1 Level 6 or lower FIRE Dinosaur-Type monster from your hand.
Evolsaur Terias	ORCS	EvolsaurTerias	Dinosaur/Effect	Fire	6	2400	600			When this card is Special Summoned by the effect of an "Evoltile" monster: This card loses 500 ATK.
Ninja Grandmaster Hanzo	ORCS	NinjaGrandmasterHanzo	Warrior/Effect	Dark	4	1800	1000			When this card is Normal Summoned: You can add 1 "Ninjitsu Art" card from your Deck to your hand. When this card is Flip or Special Summoned: You can add 1 "Ninja" monster from your Deck to your hand, except "Ninja Grandmaster Hanzo".
Masked Ninja Ebisu	ORCS	MaskedNinjaEbisu	Warrior/Effect	Wind	4	1200	1800			Once per turn, if you control a face-up "Ninja" monster other than "Masked Ninja Ebisu", you can activate this effect: Return a number of your opponent's Spell/Trap Cards to the hand, equal to the number of "Ninja" monsters you control, also every face-up "Goe Goe the Gallant Ninja" you control can attack your opponent directly this turn.
