Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Salamandra	DDS	Salamandra	Equip Spell							A FIRE monster equipped with this card increases its ATK by 700 points.
Seiyaryu	DDS	Seiyaryu	Dragon	Light	7	2500	2300			A mystical dragon that burns away the unworthy with its mystic flames.
Graceful Dice	EDS	GracefulDice	Quick-Play Spell							Roll 1 six-sided die. The result is multiplied by 100 points and added to the ATK and DEF of all monsters you control until the end of your turn. Monsters summoned after this card's activiation are excluded.
Skull Dice	EDS	SkullDice	Normal Trap							Roll 1 six-sided die. The result is multiplies by 100 points and subtracted from the ATK and DEF of all monsters in your opponent's control until the end of your turn. Monsters summoned after this card's activation are excluded.
Harpie's Pet Dragon	FMR	HarpiesPetDragon	Dragon/Effect	Wind	7	2000	2500			Increases the ATK and DEF of this card by 300 points for each face-up "Harpie Lady" on the field.
Red-Eyes Black Metal Dragon	FMR	RedEyesBlackMetalDragon	Machine/Effect	Dark	8	2800	2400			This card cannot be Normal Summoned or Set. This card can only be Special Summoned from the Deck by Tributing "Red-Eyes B. Dragon" equipped with "Metalmorph". Your Deck is then shuffled.
Arcana Force Ex - The Light Ruler	JUMP	ArcanaForceExTheLightRuler	Fairy/Effect	Light	10	4000	4000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 monsters you control to the Graveyard. When this card is successfully Special Summoned, toss a coin: ? Heads: When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can add 1 card from your Graveyard to your hand. ? Tails: When a effect of a Spell, Trap or Effect Monster's effect that targets this card is activated, negate its activation and destroy it, and this card loses 1000 ATK.
Chimeratech Fortress Dragon	JUMP	ChimeratechFortressDragon	Machine/Fusion/Effect	Dark	8	0	0			Cyber Dragon + 1 or more Machine-Type monsters This monster cannot be used a Fusion Meterial Monster. You can only Special Summon this card from your Extra Deck by sending the above cards from either side of the field to the Graveyard. (You do not use "Polymerization".) The original ATK of this card is equal to 1000 x the number of Fusion Material Monsters used to Special Summon it.
Cyber Dinosaur	JUMP	CyberDinosaur	Machine/Effect	Light	7	2500	1900			When your opponent Special Summons a monster from their hand, you can Special Summon this card from your hand.
Cyber Eltanin	JUMP	CyberEltanin	Machine/Effect	Light	10	?	?			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play all LIGHT Machine-Type monsters you control and that are in your Graveyard. This card's ATK and DEF become equal to the number of monsters removed from play when it was Special Summoned x 500. When this card is Special Summoned, send all other face-up monsters on the field to the Graveyard.
Darkness Neosphere	JUMP	DarknessNeosphere	Fiend/Effect	Dark	10	4000	4000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 1 Fiend-Type monster you control and 1 Fiend-Type monster from your hand to the Graveyard when your opponent's monster declares an attack. This card cannot be destroyed by battle. Once per turn, you can return all face-up Trap Cards you control to the hand.
Dragonic Knight	JUMP	DragonicKnight	Dragon/Effect	Fire	7	2800	2300			When the effect of an opponent's monster is activated that targets and destroys a card(s) you control, you can send the targeted card(s) to the Graveyard to Special Summon this card from your hand.
Dreadscythe Harvester	JUMP	DreadscytheHarvester	Insect/Effect	Wind	8	2300	1600			You can Tribute 1 Insect-Type monster to have this card gain 500 ATK until the end of the turn.
Endless Decay	JUMP	EndlessDecay	Zombie/Effect	Dark	5	?	0			If you have 2000 or less Life Points, you can Special Summon this card (from your hand). When this card is Normal or Special Summoned: This card's ATK becomes half the opponent's Life Points.
Gandora the Dragon of Destruction	JUMP	GandoratheDragonofDestruction	Dragon/Effect	Dark	8	0	0			This card cannot be Special Summoned. You can pay half of your Life Points to destroy and remove from play all cards on the field except this card. For every card that is removed by this effect, this card gains 300 ATK. This card is sent to the Graveyard at the End Phase of the turn it was Summoned.
Genesis Dragon	JUMP	GenesisDragon	Dragon/Effect	Light	6	2200	1800			Once per turn, you can send 1 Dragon-Type Monster from your hand to the Graveyard to add 1 Dragon-Type Monster from your Graveyard to your hand. When this card is sent from the field to the Graveyard, you can return all Dragon-Type Monsters from your Graveyard to your Deck.
Golem Dragon	JUMP	GolemDragon	Dragon/Effect	Earth	4	200	2000			Your opponent cannot select another Dragon-Type monster you control as an attack target.
Hundred-Eyes Dragon	JUMP	HundredEyesDragon	Dragon/Synchro/Effect	Dark	8	3000	2500			1 DARK Tuner + 1 or more non-Tuner Fiend-Type monsters. Once per turn, you can activate this card's effect by removing from play 1 Level 6 or lower DARK Effect Monster from your Graveyard. Until the End Phase, treat this card's name as that monster's name, and this card gains the same effects as that monster while face-up on the field. When this card is destroyed and sent to the Graveyard, add 1 "Earthbound Immortal" monster from your Deck to your hand.
Judgment of the Pharaoh	JUMP	JudgmentofthePharaoh	Normal Trap							Pay half your Life Points. Select and activate an appropriate effect which can be applied: ? If "Yu-Jo Friendship" is in your Graveyard, until the end of this turn: your opponent cannot Normal Summon, Set, Flip Summon, or Special Summon a monster(s), or activate an Effect Monster's effect, and their monster's effects are negated. ? If "Unity" is in your Graveyard, until the end of this turn: negate the effects of all Spell and Trap Cards on your opponent's side of the field, and your opponent cannot activate Set Spell or Trap cards.
